study,Z,dv,wave,estimate,std.error,conf.low,conf.high
Elite Study,wallstreet,wall,w2,0.23970314048600377,0.05448716937204264,0.13242760411957438,0.34697867685243317
MTurk Study,control,amtrak,w1,-0.1064237994380842,0.04864453681383726,-0.2020606179502696,-0.010786980925898776
MTurk Study,control,amtrak,w2,-0.016047729862353872,0.049461672239725855,-0.11329106449215923,0.08119560476745147
MTurk Study,control,amtrak,w3,-0.0208028498648018,0.05002509386630175,-0.11915389062927326,0.07754819089966966
MTurk Study,control,climate,w1,-0.03788793059420414,0.05035091243894058,-0.13687954178529121,0.061103680596882946
MTurk Study,control,climate,w2,7.730095851243362e-4,0.049908405081995434,-0.09734861704945584,0.09889463621970453
MTurk Study,control,climate,w3,-0.0059289258580294164,0.04941964262845093,-0.10308962883854964,0.09123177712249081
MTurk Study,control,flat,w1,-0.08018800752055869,0.049536694909768836,-0.17757883927849288,0.017202824237375527
MTurk Study,control,flat,w2,-0.08537684456929277,0.049451774875349575,-0.1826007206431615,0.011847031504575944
MTurk Study,control,flat,w3,-0.050593795434662435,0.04997366496136601,-0.14884372521792663,0.047656134348601754
MTurk Study,control,vets,w1,-0.1573495985834943,0.04999583860767451,-0.2556431225116853,-0.0590560746553033
MTurk Study,control,vets,w2,-0.1247951823519098,0.04774762432476371,-0.21866864031926958,-0.03092172438455003
MTurk Study,control,vets,w3,-0.1483483977004592,0.05186219012528061,-0.2503112323685659,-0.046385563032352556
MTurk Study,control,wall,w1,-0.0653624416588293,0.0491358808379789,-0.16196525928091918,0.03124037596326057
MTurk Study,control,wall,w2,-0.008623840507591825,0.05155022185118716,-0.10997333490842005,0.0927256538932364
MTurk Study,control,wall,w3,-0.02677063286989492,0.04836403530355912,-0.12185597584571069,0.06831471010592084
MTurk Study,amtrak,amtrak,w1,0.41178675881799004,0.056787439942698616,0.3001201529240146,0.5234533647119655
MTurk Study,amtrak,amtrak,w2,0.24708771897866433,0.051429807206154046,0.1459563417183457,0.34821909623898295
MTurk Study,amtrak,amtrak,w3,0.18877133679634137,0.05337190407804335,0.08382102763453157,0.29372164595815115
MTurk Study,amtrak,climate,w1,-0.03730392586535471,0.05383939507455386,-0.14317350754444996,0.06856565581374055
